timestamp,operation,operation_type,username,status,vm_name,vm_id,node,task_id,error,template_id,template_name
2026-02-09T17:36:23.731973Z,template_clone,clone,root@pam,success,winarrio,555,bestia,UPID:bestia:0022574F:835E6F6B:698A1AE0:qmclone:101:root@pam:,,101,win2022-template
2026-02-09T17:36:23.732662Z,batch_clone,batch,root@pam,success,,,,,,,
